,ARI,size_N-1,size_N,size_common,date,freq,depth
0,0.9865149320986507,20504,33130,20246,2016-12-03,3,12
1,0.9736572542989467,33130,49826,30694,2017-03-03,3,12
2,0.9648533012331244,49826,62587,41757,2017-06-03,3,12
3,0.9789730571330704,62587,71957,51965,2017-09-03,3,12
4,0.9879292380505166,20504,24345,20504,2016-10-03,1,12
5,0.9938781525393383,24345,28411,24086,2016-11-03,1,12
6,0.9902721774008386,28411,33130,28411,2016-12-03,1,12
7,0.9868733223378595,33130,39750,33130,2017-01-03,1,12
8,0.9965442661750384,39750,45807,38928,2017-02-03,1,12
9,0.9972677314535733,45807,49826,44189,2017-03-03,1,12
10,0.9803950590746422,49826,53836,47419,2017-04-03,1,12
11,0.9931754441552864,53836,59158,51534,2017-05-03,1,12
12,0.9758193403402035,59158,62587,55789,2017-06-03,1,12
13,0.9947191288339242,62587,66115,59680,2017-07-03,1,12
14,0.9836432020843178,66115,68351,62301,2017-08-03,1,12
15,0.9689424896331013,68351,71957,64436,2017-09-03,1,12
16,0.9787120240641075,71957,68043,67993,2017-10-03,1,12
17,0.9776254175807635,20504,49826,17812,2017-03-03,6,12
18,0.9533350672439626,49826,71957,31160,2017-09-03,6,12
19,0.9870100984760514,20504,39750,20246,2017-01-03,4,12
20,0.9735496975824812,39750,59158,32613,2017-05-03,4,12
21,0.9571767347576885,59158,71957,45178,2017-09-03,4,12
22,0.9746906528389312,20504,45807,19425,2017-02-03,5,12
23,0.9531167656810343,45807,66115,33225,2017-07-03,5,12
24,0.9900339255545698,20504,28411,20245,2016-11-03,2,12
25,0.9808334207702969,28411,39750,28411,2017-01-03,2,12
26,0.9804166393161343,39750,49826,37314,2017-03-03,2,12
27,0.9793159701832617,49826,59158,45120,2017-05-03,2,12
28,0.9759537848775618,59158,66115,52882,2017-07-03,2,12
29,0.9674418302566894,66115,71957,58392,2017-09-03,2,12
30,0.9497406393279508,2005,9696,1744,2016-12-03,3,6
31,0.9800321369213233,9696,17782,7236,2017-03-03,3,6
32,0.979585077170795,17782,22518,9646,2017-06-03,3,6
33,0.9364147122953237,22518,30979,11779,2017-09-03,3,6
34,0.9469172644204156,30979,36344,15426,2017-12-03,3,6
35,0.8653060131199116,36344,37929,17815,2018-03-03,3,6
36,0.9405164427934187,2005,4213,2005,2016-10-03,1,6
37,0.9719778959648804,4213,5887,3952,2016-11-03,1,6
38,0.9323753945113205,5887,9696,5887,2016-12-03,1,6
39,0.9790437414583553,9696,12567,9696,2017-01-03,1,6
40,0.9727576040279058,12567,15406,11736,2017-02-03,1,6
41,0.9784880038878491,15406,17782,13776,2017-03-03,1,6
42,0.9813220105600022,17782,19189,15357,2017-04-03,1,6
43,0.9828943321205231,19189,21192,16856,2017-05-03,1,6
44,0.9853473978250282,21192,22518,17780,2017-06-03,1,6
45,0.9727762583756548,22518,26206,19570,2017-07-03,1,6
46,0.9539924309798311,26206,29268,22351,2017-08-03,1,6
47,0.9903445206102177,29268,30979,25313,2017-09-03,1,6
48,0.9945399800343698,30979,33431,26982,2017-10-03,1,6
49,0.5667749342505802,33431,36799,29138,2017-11-03,1,6
50,0.47877806361340025,36799,36344,29497,2017-12-03,1,6
51,0.9501072095403101,36344,37661,31171,2018-01-03,1,6
52,0.9597393958427443,37661,36743,30658,2018-02-03,1,6
53,0.9697942453742322,36743,37929,30363,2018-03-03,1,6
